anio,provincia_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,Rendimiento_Real_kgxha,Rendimiento_Predicho_kgxha,Error_Absoluto_kgxha,Error_Relativo_pct,Provincia_Nombre
2018,6,22050,21910,86537,3950,3405.55,544.45,13.78,Buenos Aires
2018,90,400,400,1240,3100,2938.9,161.1,5.2,Tucumán
2003,6,16800,16800,42700,2542,2400.4,141.6,5.57,Buenos Aires
2014,6,105930,102730,200366,1950,1928.12,21.88,1.12,Buenos Aires
1983,18,80,80,130,1625,1524.49,100.51,6.18,Corrientes
2021,22,500,470,1043,2219,2051.83,167.17,7.53,Chaco
2007,6,14000,14000,36623,2616,2526.56,89.44,3.42,Buenos Aires
2018,6,1430,1360,4123,3032,2701.21,330.79,10.91,Buenos Aires
1995,6,3000,2500,2900,1160,1383.08,223.08,19.23,Buenos Aires
1992,18,900,900,1600,1778,1649.56,128.44,7.22,Corrientes
2002,22,7000,7000,14700,2100,2082.31,17.69,0.84,Chaco
1998,22,2000,1600,3500,2188,1835.98,352.02,16.09,Chaco
2004,6,4746,4746,14258,3004,2597.69,406.31,13.53,Buenos Aires
2016,74,22150,22150,59640,2693,2639.11,53.89,2.0,San Luis
1998,34,1500,1500,4500,3000,1860.68,1139.32,37.98,Formosa
2006,6,34450,34450,110704,3213,3268.61,55.61,1.73,Buenos Aires
2023,14,697200,697200,1954480,2803,2683.35,119.65,4.27,Córdoba
1978,30,2230,2150,3200,1488,1604.35,116.35,7.82,Entre Ríos
2018,14,670800,670800,1805370,2691,2659.54,31.46,1.17,Córdoba
1982,42,50,0,0,0,0.0,0.0,,La Pampa
2006,6,6500,6500,13800,2123,2205.79,82.79,3.9,Buenos Aires
1989,6,200,200,220,1100,1429.99,329.99,30.0,Buenos Aires
1942,82,15,15,27,1800,1526.7,273.3,15.18,Santa Fe
1999,82,162000,161000,403600,2507,2503.25,3.75,0.15,Santa Fe
2000,6,21500,21100,28400,1346,1604.23,258.23,19.19,Buenos Aires
1998,6,69000,69000,205000,2971,2982.12,11.12,0.37,Buenos Aires
1996,14,27500,27500,63300,2302,2174.16,127.84,5.55,Córdoba
2015,6,148300,144900,343750,2372,2414.65,42.65,1.8,Buenos Aires
1978,6,150,130,84,646,807.02,161.02,24.93,Buenos Aires
2003,86,80000,80000,168000,2100,2231.91,131.91,6.28,Santiago del Estero
2006,6,750,600,990,1650,1799.47,149.47,9.06,Buenos Aires
1993,30,300,300,500,1667,1635.46,31.54,1.89,Entre Ríos
1978,22,400,380,342,900,1272.8,372.8,41.42,Chaco
2022,18,955,955,1233,1291,1548.77,257.77,19.97,Corrientes
1976,54,2200,2190,3920,1790,1725.8,64.2,3.59,Misiones
1986,6,47000,47000,95000,2021,2100.25,79.25,3.92,Buenos Aires
2018,6,164060,161609,533857,3303,3259.2,43.8,1.33,Buenos Aires
1978,22,50,50,55,1100,1119.0,19.0,1.73,Chaco
1989,86,30000,29500,55000,1864,1916.47,52.47,2.81,Santiago del Estero
2003,14,173000,172300,280900,1630,1695.67,65.67,4.03,Córdoba
1990,6,2500,2500,3000,1200,1483.02,283.02,23.58,Buenos Aires
2007,18,480,440,740,1682,1773.94,91.94,5.47,Corrientes
1978,90,16000,16000,31050,1941,2000.35,59.35,3.06,Tucumán
2004,14,18177,13128,20003,1524,1702.03,178.03,11.68,Córdoba
2001,42,2500,2500,3300,1320,1750.36,430.36,32.6,La Pampa
2009,66,292400,292400,877200,3000,3042.38,42.38,1.41,Salta
2004,30,106033,105225,263398,2503,2540.98,37.98,1.52,Entre Ríos
1982,18,200,200,320,1600,1512.57,87.43,5.46,Corrientes
1981,54,800,700,1000,1429,1602.19,173.19,12.12,Misiones
1994,6,7000,7000,12300,1757,1845.98,88.98,5.06,Buenos Aires
1942,6,10,7,3,429,625.96,196.96,45.91,Buenos Aires
2013,82,167887,167887,563800,3358,3220.64,137.36,4.09,Santa Fe
2006,82,652300,636105,2276454,3579,3231.14,347.86,9.72,Santa Fe
1975,6,1000,1000,1500,1500,1382.24,117.76,7.85,Buenos Aires
1989,42,200,150,150,1000,1212.35,212.35,21.23,La Pampa
2021,6,2000,2000,3200,1600,2232.05,632.05,39.5,Buenos Aires
1978,6,146,146,120,822,986.59,164.59,20.02,Buenos Aires
1994,14,112000,95000,128300,1351,1538.86,187.86,13.91,Córdoba
1976,22,100,80,65,813,996.53,183.53,22.57,Chaco
1981,54,2200,2060,2400,1165,1432.11,267.11,22.93,Misiones
1986,30,400,300,420,1400,1482.72,82.72,5.91,Entre Ríos
1989,22,300,300,400,1333,1540.22,207.22,15.55,Chaco
1980,30,2000,1960,2925,1492,1622.39,130.39,8.74,Entre Ríos
2018,6,5900,5900,15740,2668,2697.98,29.98,1.12,Buenos Aires
2018,38,750,750,2100,2800,2588.36,211.64,7.56,Jujuy
2021,86,3600,3600,10440,2900,2376.36,523.64,18.06,Santiago del Estero
2005,42,200,200,211,1055,1709.02,654.02,61.99,La Pampa
1985,86,1500,1500,2960,1973,1811.68,161.32,8.18,Santiago del Estero
2020,14,681300,674300,1794090,2661,2614.32,46.68,1.75,Córdoba
1995,82,35000,35000,78800,2251,2197.76,53.24,2.37,Santa Fe
1990,6,1000,1000,1800,1800,1696.81,103.19,5.73,Buenos Aires
2014,66,920,920,2300,2500,2464.12,35.88,1.44,Salta
2012,66,48000,38600,34740,900,988.13,88.13,9.79,Salta
2009,6,82700,80700,260900,3233,3155.88,77.12,2.39,Buenos Aires
1985,14,800,800,1120,1400,1641.34,241.34,17.24,Córdoba
2008,6,92734,88716,85294,961,1107.08,146.08,15.2,Buenos Aires
1975,30,130,120,192,1600,1347.89,252.11,15.76,Entre Ríos
1993,6,5600,5600,10100,1804,1887.21,83.21,4.61,Buenos Aires
1967,22,10,10,5,500,773.73,273.73,54.75,Chaco
2016,6,27301,26116,81697,3128,2992.66,135.34,4.33,Buenos Aires
2019,6,7100,6650,15760,2370,2555.36,185.36,7.82,Buenos Aires
2020,6,2470,2320,8416,3628,2779.43,848.57,23.39,Buenos Aires
2016,6,82000,79500,209450,2635,2602.46,32.54,1.23,Buenos Aires
2008,6,64550,63900,84990,1330,1347.96,17.96,1.35,Buenos Aires
1960,54,135,128,128,1000,1001.56,1.56,0.16,Misiones
2003,90,870,860,2340,2721,2505.62,215.38,7.92,Tucumán
2005,6,3000,2950,6018,2040,2026.56,13.44,0.66,Buenos Aires
1977,14,46300,45800,100900,2203,2223.68,20.68,0.94,Córdoba
2002,14,504162,494162,1770000,3582,3050.73,531.27,14.83,Córdoba
1994,82,1000,1000,2400,2400,1992.41,407.59,16.98,Santa Fe
1984,6,27000,27000,37800,1400,1626.25,226.25,16.16,Buenos Aires
2011,66,32400,31104,46656,1500,1702.32,202.32,13.49,Salta
1988,54,900,900,2000,2222,1768.3,453.7,20.42,Misiones
1982,86,12090,12090,19446,1608,1878.55,270.55,16.83,Santiago del Estero
1975,22,100,100,115,1150,1219.79,69.79,6.07,Chaco
2013,86,2000,2000,5000,2500,2419.4,80.6,3.22,Santiago del Estero
1975,82,200,180,230,1278,1358.98,80.98,6.34,Santa Fe
1972,34,100,100,100,1000,1111.15,111.15,11.12,Formosa
2014,30,33000,33000,76500,2318,2414.33,96.33,4.16,Entre Ríos
2004,6,36859,36859,105759,2869,2721.59,147.41,5.14,Buenos Aires
1988,22,800,800,1000,1250,1627.17,377.17,30.17,Chaco
1992,30,2000,2000,4000,2000,1874.51,125.49,6.27,Entre Ríos
1973,18,11600,11100,18510,1668,1779.37,111.37,6.68,Corrientes
1995,66,2500,1300,1700,1308,1417.91,109.91,8.4,Salta
1986,82,7000,6900,13100,1899,1879.05,19.95,1.05,Santa Fe
1997,6,2700,2600,5000,1923,1776.73,146.27,7.61,Buenos Aires
2008,22,11370,8530,5971,700,1331.88,631.88,90.27,Chaco
1979,6,300,250,125,500,817.06,317.06,63.41,Buenos Aires
2004,6,3433,3433,10155,2958,2238.1,719.9,24.34,Buenos Aires
1973,54,3500,3000,5160,1720,1457.72,262.28,15.25,Misiones
1995,6,16000,15800,22900,1449,1657.48,208.48,14.39,Buenos Aires
2004,42,15653,14946,37236,2491,2413.78,77.22,3.1,La Pampa
2009,6,72550,70350,223360,3175,3109.36,65.64,2.07,Buenos Aires
1977,30,1200,1195,2100,1757,1608.78,148.22,8.44,Entre Ríos
1996,22,8000,8000,16800,2100,1946.2,153.8,7.32,Chaco
2020,6,110000,110000,233000,2118,2111.94,6.06,0.29,Buenos Aires
2015,22,51200,50100,105210,2100,2108.06,8.06,0.38,Chaco
2013,42,2000,2000,2600,1300,2107.79,807.79,62.14,La Pampa
1961,54,18,17,17,1000,947.53,52.47,5.25,Misiones
1978,6,8000,8000,14400,1800,1853.82,53.82,2.99,Buenos Aires
1977,14,500,500,850,1700,1650.53,49.47,2.91,Córdoba
2021,90,300,300,660,2200,2143.3,56.7,2.58,Tucumán
1945,54,100,0,0,0,0.0,0.0,,Misiones
1994,90,16500,16250,23100,1422,1630.28,208.28,14.65,Tucumán
2019,6,12000,12000,25600,2133,2464.95,331.95,15.56,Buenos Aires
2010,82,663000,663000,2273400,3429,3165.65,263.35,7.68,Santa Fe
2017,22,28390,28050,56100,2000,2268.14,268.14,13.41,Chaco
2001,54,350,330,627,1900,1836.62,63.38,3.34,Misiones
2002,42,1380,1050,1500,1429,1711.8,282.8,19.79,La Pampa
2015,6,44000,43000,151700,3528,3385.7,142.3,4.03,Buenos Aires
2002,6,4600,4600,13200,2870,2502.39,367.61,12.81,Buenos Aires
1985,6,25000,25000,67200,2688,2352.13,335.87,12.5,Buenos Aires
2007,6,7200,7200,16334,2269,2247.75,21.25,0.94,Buenos Aires
1981,6,10000,10000,18000,1800,1928.6,128.6,7.14,Buenos Aires
2019,6,10300,10300,26850,2607,2641.48,34.48,1.32,Buenos Aires
1990,14,440000,435000,989700,2275,2294.25,19.25,0.85,Córdoba
1998,14,15000,9000,12600,1400,1441.84,41.84,2.99,Córdoba
1972,18,40,35,42,1200,1147.98,52.02,4.34,Corrientes
1989,6,4500,4500,9000,2000,1896.6,103.4,5.17,Buenos Aires
2022,90,800,800,1440,1800,1802.49,2.49,0.14,Tucumán
2002,22,62000,62000,125000,2016,2070.66,54.66,2.71,Chaco
1977,6,2000,1800,3100,1722,1616.81,105.19,6.11,Buenos Aires
1992,6,44000,41700,55600,1333,1425.89,92.89,6.97,Buenos Aires
1989,6,8000,8000,20000,2500,2179.91,320.09,12.8,Buenos Aires
1977,54,750,680,370,544,964.36,420.36,77.27,Misiones
1999,14,54000,54000,166400,3081,3038.22,42.78,1.39,Córdoba
2009,18,340,325,480,1477,1777.39,300.39,20.34,Corrientes
1983,82,1000,1000,1800,1800,1732.36,67.64,3.76,Santa Fe
1986,86,11000,8000,11000,1375,1596.73,221.73,16.13,Santiago del Estero
1999,6,58500,57000,144900,2542,2577.67,35.67,1.4,Buenos Aires
2006,90,117350,117350,363785,3100,3085.38,14.62,0.47,Tucumán
1997,6,1500,1400,2400,1714,1792.13,78.13,4.56,Buenos Aires
1994,6,8400,8400,14400,1714,1820.37,106.37,6.21,Buenos Aires
1957,54,180,100,100,1000,1022.24,22.24,2.22,Misiones
1982,6,2440,2440,3700,1516,1629.36,113.36,7.48,Buenos Aires
2002,14,117000,117000,205000,1752,1766.61,14.61,0.83,Córdoba
2013,6,14200,13700,41970,3064,2589.6,474.4,15.48,Buenos Aires
2009,66,440,440,1144,2600,1983.19,616.81,23.72,Salta
2019,30,12300,12300,27300,2220,2331.27,111.27,5.01,Entre Ríos
2005,86,66000,66000,167248,2534,2611.82,77.82,3.07,Santiago del Estero
1996,6,18100,18100,45500,2514,2308.64,205.36,8.17,Buenos Aires
1974,14,2000,2000,3250,1625,1438.09,186.91,11.5,Córdoba
1981,54,2600,2400,3000,1250,1471.83,221.83,17.75,Misiones
2005,6,62800,62800,196495,3129,3104.32,24.68,0.79,Buenos Aires
2011,86,3000,2400,2880,1200,1463.27,263.27,21.94,Santiago del Estero
2006,14,5000,5000,14000,2800,2552.53,247.47,8.84,Córdoba
1985,42,200,180,290,1611,1507.08,103.92,6.45,La Pampa
2023,6,28000,28000,70600,2521,2592.98,71.98,2.86,Buenos Aires
1977,54,600,600,660,1100,1499.29,399.29,36.3,Misiones
1991,6,1500,1500,3000,2000,1804.32,195.68,9.78,Buenos Aires
1964,82,50,50,25,500,605.4,105.4,21.08,Santa Fe
2003,42,43200,41200,94100,2284,2296.71,12.71,0.56,La Pampa
1981,22,350,350,450,1286,1498.01,212.01,16.49,Chaco
1974,54,2000,1980,2970,1500,1438.32,61.68,4.11,Misiones
2008,82,327330,327330,871065,2661,2896.74,235.74,8.86,Santa Fe
1969,54,75,71,60,845,982.37,137.37,16.26,Misiones
1975,14,400,400,480,1200,1266.21,66.21,5.52,Córdoba
1978,22,500,500,800,1600,1630.19,30.19,1.89,Chaco
2003,6,9500,9000,13600,1511,1894.53,383.53,25.38,Buenos Aires
1990,22,2000,2000,3100,1550,1645.76,95.76,6.18,Chaco
1983,42,340,340,550,1618,1592.18,25.82,1.6,La Pampa
2008,6,4819,4719,6015,1275,1894.35,619.35,48.58,Buenos Aires
1977,30,500,495,840,1697,1632.9,64.1,3.78,Entre Ríos
1993,6,25000,25000,55000,2200,2168.25,31.75,1.44,Buenos Aires
1968,54,30,20,17,850,871.28,21.28,2.5,Misiones
1976,82,96000,95000,225000,2368,2282.63,85.37,3.61,Santa Fe
2010,6,16700,16700,28860,1728,2001.66,273.66,15.84,Buenos Aires
2000,42,50,40,45,1125,1695.29,570.29,50.69,La Pampa
1984,90,34970,34500,78200,2267,2226.57,40.43,1.78,Tucumán
1981,54,1000,900,1100,1222,1585.14,363.14,29.72,Misiones
1995,6,31800,31800,71300,2242,2229.22,12.78,0.57,Buenos Aires
2006,74,7000,7000,19600,2800,2333.15,466.85,16.67,San Luis
1979,6,250,250,540,2160,1612.91,547.09,25.33,Buenos Aires
1999,10,7000,6200,17400,2806,2276.29,529.71,18.88,Catamarca
1989,6,500,500,1000,2000,1798.55,201.45,10.07,Buenos Aires
2006,6,1800,1800,5740,3189,2272.84,916.16,28.73,Buenos Aires
1989,14,370000,355000,817000,2301,2307.91,6.91,0.3,Córdoba
2021,34,2540,1100,770,700,1862.19,1162.19,166.03,Formosa
1978,6,4500,4500,9450,2100,1908.51,191.49,9.12,Buenos Aires
2021,6,460,390,1188,3046,2383.79,662.21,21.74,Buenos Aires
2001,6,50000,50000,102000,2040,2084.86,44.86,2.2,Buenos Aires
2017,6,23000,23000,58900,2561,2544.56,16.44,0.64,Buenos Aires
2006,6,76011,76011,248437,3268,3282.33,14.33,0.44,Buenos Aires
1943,54,15,15,15,1000,962.55,37.45,3.74,Misiones
2014,14,198300,197100,746400,3787,3517.61,269.39,7.11,Córdoba
2009,18,5700,5700,15390,2700,2451.79,248.21,9.19,Corrientes
1974,18,200,195,292,1497,1413.02,83.98,5.61,Corrientes
1990,66,3000,3000,6000,2000,1993.73,6.27,0.31,Salta
1986,6,18000,18000,36000,2000,1987.82,12.18,0.61,Buenos Aires
1984,18,100,100,120,1200,1351.93,151.93,12.66,Corrientes
2006,6,53550,53550,172685,3225,3135.2,89.8,2.78,Buenos Aires
1989,6,1000,1000,1500,1500,1618.71,118.71,7.91,Buenos Aires
2001,42,800,800,1000,1250,1806.29,556.29,44.5,La Pampa
2019,6,109400,109400,225160,2058,2107.16,49.16,2.39,Buenos Aires
1997,86,200,200,500,2500,1892.97,607.03,24.28,Santiago del Estero
2004,30,103004,102549,238040,2321,2294.37,26.63,1.15,Entre Ríos
1997,10,8000,8000,24000,3000,2366.91,633.09,21.1,Catamarca
1969,82,200,100,100,1000,1061.73,61.73,6.17,Santa Fe
1986,6,1200,1200,1580,1317,1521.52,204.52,15.53,Buenos Aires
2014,14,1200,1200,2880,2400,2492.41,92.41,3.85,Córdoba
1995,18,650,430,770,1791,1590.5,200.5,11.19,Corrientes
2001,54,200,190,361,1900,1793.0,107.0,5.63,Misiones
2014,86,8500,8000,19200,2400,2482.82,82.82,3.45,Santiago del Estero
2005,6,2000,2000,4435,2218,1841.97,376.03,16.95,Buenos Aires
1991,14,20000,19400,48500,2500,2290.86,209.14,8.37,Córdoba
2008,90,4680,4680,11700,2500,2426.6,73.4,2.94,Tucumán
2013,82,4000,4000,11200,2800,2565.97,234.03,8.36,Santa Fe
2006,6,3600,3600,12030,3342,2436.08,905.92,27.11,Buenos Aires
2005,42,12500,12500,18161,1453,1974.39,521.39,35.88,La Pampa
2019,6,16000,16000,33480,2093,2452.05,359.05,17.15,Buenos Aires
1977,90,13900,13900,25100,1806,1971.33,165.33,9.15,Tucumán
2013,14,579300,555200,1868680,3366,3243.33,122.67,3.64,Córdoba
1942,82,235,205,210,1024,1027.29,3.29,0.32,Santa Fe
1973,6,1000,950,1710,1800,1488.32,311.68,17.32,Buenos Aires
1982,6,30800,30800,45300,1471,1664.51,193.51,13.16,Buenos Aires
2016,54,30,26,57,2192,2448.42,256.42,11.7,Misiones
2006,42,9600,9400,12000,1277,1684.27,407.27,31.89,La Pampa
2017,6,50000,41960,112336,2677,2608.51,68.49,2.56,Buenos Aires
2013,6,3500,3500,8330,2380,2533.17,153.17,6.44,Buenos Aires
1978,82,500,500,1000,2000,1755.54,244.46,12.22,Santa Fe
1982,6,30200,30200,41200,1364,1684.07,320.07,23.47,Buenos Aires
2021,54,81,47,71,1511,1803.97,292.97,19.39,Misiones
2005,90,111,111,333,3000,2628.4,371.6,12.39,Tucumán
1979,86,300,300,540,1800,1581.09,218.91,12.16,Santiago del Estero
1987,6,4000,4000,8000,2000,1912.41,87.59,4.38,Buenos Aires
2011,22,18000,9000,6500,722,996.01,274.01,37.95,Chaco
2015,54,60,60,186,3100,2496.79,603.21,19.46,Misiones
2005,6,55000,51200,77711,1518,1543.27,25.27,1.66,Buenos Aires
1982,30,300,300,330,1100,1345.5,245.5,22.32,Entre Ríos
1987,22,200,200,400,2000,1789.68,210.32,10.52,Chaco
1982,54,1100,330,462,1400,1349.72,50.28,3.59,Misiones
1987,6,300,300,580,1933,1676.67,256.33,13.26,Buenos Aires
2019,66,360,360,900,2500,2571.11,71.11,2.84,Salta
2011,90,2000,2000,4600,2300,2167.72,132.28,5.75,Tucumán
2013,86,54000,54000,156600,2900,2922.74,22.74,0.78,Santiago del Estero
1982,6,300,300,600,2000,1773.27,226.73,11.34,Buenos Aires
1989,22,300,300,400,1333,1540.22,207.22,15.55,Chaco
2021,6,15159,15159,16305,1076,2199.15,1123.15,104.38,Buenos Aires
2009,22,2000,1700,2450,1441,1769.55,328.55,22.8,Chaco
2000,6,8400,7800,17600,2256,2237.48,18.52,0.82,Buenos Aires
2012,74,1800,1800,3240,1800,1842.16,42.16,2.34,San Luis
1992,30,3600,3300,6400,1939,1858.79,80.21,4.14,Entre Ríos
2019,6,103184,103184,365416,3541,3579.12,38.12,1.08,Buenos Aires
2007,66,50000,50000,142907,2858,2852.57,5.43,0.19,Salta
2016,6,53000,49800,139200,2795,2699.66,95.34,3.41,Buenos Aires
1971,54,2300,2000,2900,1450,1409.58,40.42,2.79,Misiones
1976,86,150,150,180,1200,1278.79,78.79,6.57,Santiago del Estero
1979,14,28000,27000,45900,1700,1811.01,111.01,6.53,Córdoba
1987,6,2000,2000,3600,1800,1799.74,0.26,0.01,Buenos Aires
2009,6,150,150,240,1600,1766.47,166.47,10.4,Buenos Aires
1992,6,28450,23500,31300,1332,1477.49,145.49,10.92,Buenos Aires
2008,42,15000,9000,7870,874,1215.61,341.61,39.09,La Pampa
1983,54,930,930,1300,1398,1595.43,197.43,14.12,Misiones
1995,14,110000,107000,181900,1700,1949.1,249.1,14.65,Córdoba
2009,6,116300,114500,399920,3493,3487.68,5.32,0.15,Buenos Aires
1992,54,200,0,0,0,0.0,0.0,,Misiones
1982,22,150,150,165,1100,1314.17,214.17,19.47,Chaco
1991,6,900,900,1500,1667,1624.67,42.33,2.54,Buenos Aires
2002,6,47000,47000,127800,2719,2738.32,19.32,0.71,Buenos Aires
2007,22,45000,45000,97164,2159,2271.16,112.16,5.19,Chaco
2022,66,660,660,996,1509,1744.53,235.53,15.61,Salta
1983,6,4800,4750,11600,2442,2119.84,322.16,13.19,Buenos Aires
1982,82,1000,800,1350,1688,1642.63,45.37,2.69,Santa Fe
1986,10,3000,2000,2000,1000,1248.77,248.77,24.88,Catamarca
1977,22,5,5,5,1000,878.81,121.19,12.12,Chaco
1972,18,140,120,144,1200,1190.61,9.39,0.78,Corrientes
2013,6,108000,107850,436995,4052,3927.81,124.19,3.06,Buenos Aires
1970,66,100,100,130,1300,1223.94,76.06,5.85,Salta
2000,14,45000,40000,80300,2008,2032.47,24.47,1.22,Córdoba
2009,82,240700,239600,871700,3638,3253.34,384.66,10.57,Santa Fe
1996,22,2500,2500,4800,1920,1749.68,170.32,8.87,Chaco
1987,6,1100,1100,2090,1900,1741.79,158.21,8.33,Buenos Aires
2000,74,10000,9000,10800,1200,1637.04,437.04,36.42,San Luis
2010,6,65500,65500,233740,3569,3465.5,103.5,2.9,Buenos Aires
